raceId,driverId,lap,position,time,milliseconds
8,18,53,6,1:21.589,81589
8,67,53,18,1:24.193,84193
8,20,29,1,1:22.506,82506
8,20,30,1,1:22.251,82251
8,20,31,1,1:23.791,83791
8,20,32,1,1:22.463,82463
8,20,33,1,1:22.172,82172
8,20,34,1,1:21.573,81573
8,20,35,1,1:21.335,81335
8,20,36,1,1:22.269,82269
8,20,37,1,1:22.057,82057
8,20,38,1,1:21.575,81575
8,20,39,1,1:22.031,82031
8,20,40,1,1:21.706,81706
8,20,41,1,1:21.854,81854
8,20,42,1,1:21.321,81321
8,20,43,1,1:21.871,81871
8,20,44,1,1:25.655,85655
8,20,45,2,1:45.436,105436
8,20,59,1,1:22.480,82480
8,20,58,1,1:22.497,82497
8,20,57,1,1:22.570,82570
8,20,56,1,1:21.926,81926
8,20,55,1,1:21.902,81902
8,20,54,1,1:22.512,82512
8,20,28,1,1:22.261,82261
8,20,53,1,1:22.044,82044
8,20,51,1,1:21.547,81547
8,20,50,1,1:21.326,81326
8,20,49,1,1:21.708,81708
8,20,48,1,1:21.723,81723
8,20,47,2,1:21.621,81621
8,20,46,2,1:22.582,82582
8,20,52,1,1:21.286,81286
8,20,27,1,1:21.713,81713
8,20,26,1,1:22.373,82373
8,20,25,1,1:22.010,82010
8,20,6,1,1:21.458,81458
8,20,5,1,1:21.702,81702
8,20,4,1,1:21.618,81618
8,20,3,1,1:21.823,81823
8,20,2,1,1:22.338,82338
8,20,1,1,1:26.511,86511
8,20,7,1,1:21.275,81275
8,17,60,2,1:22.747,82747
8,17,58,2,1:22.024,82024
8,17,57,2,1:20.915,80915
8,17,56,2,1:21.605,81605
8,17,55,2,1:21.309,81309
8,17,54,2,1:22.139,82139
8,17,53,2,1:22.596,82596
8,17,59,2,1:22.012,82012
8,20,60,1,1:25.387,85387
8,20,8,1,1:21.082,81082
8,20,10,1,1:21.100,81100
8,20,24,1,1:22.332,82332
8,20,23,1,1:22.684,82684
8,20,22,1,1:46.045,106045
8,20,21,1,1:25.749,85749
8,20,20,1,1:21.164,81164
8,20,19,1,1:20.884,80884
8,20,9,1,1:20.931,80931
8,20,18,1,1:20.896,80896
8,20,16,1,1:20.735,80735
8,20,15,1,1:20.926,80926
8,20,14,1,1:21.052,81052
8,20,13,1,1:20.821,80821
8,20,12,1,1:20.987,80987
8,20,11,1,1:20.839,80839
8,20,17,1,1:21.042,81042
8,3,1,6,1:32.209,92209
8,3,2,6,1:23.776,83776
8,3,3,6,1:23.038,83038
8,3,53,5,1:22.466,82466
8,3,52,5,1:22.948,82948
8,3,51,5,1:22.741,82741
8,3,50,5,1:22.886,82886
8,3,49,6,1:23.216,83216
8,3,48,6,1:23.363,83363
8,3,54,5,1:22.722,82722
8,3,47,7,1:23.344,83344
8,3,45,9,1:23.407,83407
8,3,44,9,1:43.715,103715
8,3,43,5,1:26.442,86442
8,3,42,4,1:22.896,82896
8,3,41,4,1:22.782,82782
8,3,40,4,1:22.633,82633
8,3,46,8,1:23.050,83050
8,3,39,4,1:22.756,82756
8,3,55,5,1:22.355,82355
8,3,57,5,1:21.898,81898
8,6,11,4,1:22.108,82108
8,6,10,4,1:22.089,82089
8,6,9,4,1:22.233,82233
8,6,8,4,1:22.268,82268
8,6,7,4,1:22.122,82122
8,6,6,4,1:22.508,82508
8,3,56,5,1:22.046,82046
8,6,5,4,1:22.401,82401
8,6,3,4,1:23.014,83014
8,6,2,4,1:23.770,83770
8,6,1,4,1:30.365,90365
8,3,60,5,1:22.227,82227
8,3,59,5,1:22.164,82164
8,3,58,5,1:21.916,81916
8,6,4,4,1:23.011,83011
8,17,52,2,1:22.978,82978
8,3,38,4,1:22.599,82599
8,3,36,4,1:23.003,83003
8,3,17,4,1:21.054,81054
8,3,16,4,1:21.436,81436
8,3,15,5,1:21.936,81936
8,3,14,6,1:21.940,81940
8,3,13,6,1:22.377,82377
8,3,12,6,1:22.467,82467
8,3,18,4,1:24.870,84870
8,3,11,6,1:22.291,82291
8,3,9,6,1:22.092,82092
8,3,8,6,1:22.006,82006
8,3,7,6,1:22.307,82307
8,3,6,6,1:22.505,82505
8,3,5,6,1:22.777,82777
8,3,4,6,1:23.390,83390
8,3,10,6,1:22.319,82319
8,3,37,4,1:22.612,82612
8,3,19,7,1:45.079,105079
8,3,21,6,1:22.518,82518
8,3,35,4,1:23.072,83072
8,3,34,4,1:22.900,82900
8,3,33,4,1:22.823,82823
8,3,32,4,1:23.051,83051
8,3,31,4,1:22.806,82806
8,3,30,4,1:22.532,82532
8,3,20,6,1:22.583,82583
8,3,29,4,1:22.645,82645
8,3,27,4,1:22.482,82482
8,3,26,4,1:23.144,83144
8,3,25,4,1:22.640,82640
8,3,24,4,1:22.624,82624
8,3,23,5,1:22.593,82593
8,3,22,5,1:22.293,82293
8,3,28,4,1:22.481,82481
8,6,12,4,1:22.188,82188
8,17,51,2,1:22.977,82977
8,17,49,2,1:23.062,83062
8,67,3,18,1:26.608,86608
8,67,4,18,1:25.913,85913
8,67,5,18,1:25.506,85506
8,67,6,18,1:25.116,85116
8,67,7,18,1:24.423,84423
8,67,9,18,1:24.288,84288
8,67,10,18,1:24.089,84089
8,67,11,18,1:23.842,83842
8,67,12,18,1:23.992,83992
8,67,13,18,1:24.611,84611
8,67,14,18,1:24.197,84197
8,67,15,18,1:23.910,83910
8,67,16,18,1:23.901,83901
8,67,17,18,1:23.914,83914
8,67,18,18,1:23.805,83805
8,67,19,17,1:23.675,83675
8,67,20,17,1:23.585,83585
8,67,34,17,1:24.468,84468
8,67,33,20,1:24.198,84198
8,67,32,20,1:24.173,84173
8,67,31,20,1:24.851,84851
8,67,30,20,1:24.328,84328
8,67,29,20,1:23.877,83877
8,67,2,18,1:28.176,88176
8,67,28,20,1:23.208,83208
8,67,26,20,1:23.500,83500
8,67,25,20,1:24.896,84896
8,67,24,20,1:22.711,82711
8,67,23,20,1:45.052,105052
8,67,22,15,1:27.638,87638
8,67,21,16,1:23.609,83609
8,67,27,20,1:22.948,82948
8,67,1,18,1:39.349,99349
8,7,37,19,1:35.897,95897
8,7,36,20,1:27.459,87459
8,7,17,17,1:24.003,84003
8,7,16,17,1:23.897,83897
8,7,15,17,1:24.110,84110
8,7,14,17,1:24.146,84146
8,7,13,17,1:23.837,83837
8,7,12,17,1:24.190,84190
8,7,18,17,1:23.751,83751
8,7,11,17,1:24.188,84188
8,7,9,17,1:23.838,83838
8,7,8,17,1:24.260,84260
8,7,7,17,1:24.823,84823
8,7,6,17,1:24.886,84886
8,7,5,17,1:25.161,85161
8,7,4,17,1:25.594,85594
8,7,10,17,1:24.151,84151
8,67,35,17,1:25.030,85030
8,7,19,16,1:23.649,83649
8,7,21,15,1:23.359,83359
8,7,35,20,2:04.936,124936
8,7,34,18,1:44.588,104588
8,7,33,18,1:23.806,83806
8,7,32,18,1:23.880,83880
8,7,31,18,1:25.151,85151
8,7,30,18,1:23.980,83980
8,7,20,15,1:23.372,83372
8,7,29,18,1:23.520,83520
8,7,27,14,1:26.912,86912
8,7,26,14,1:22.466,82466
8,7,25,14,1:22.559,82559
8,7,24,14,1:22.999,82999
8,7,23,14,1:23.081,83081
8,7,22,14,1:22.908,82908
8,7,28,18,1:48.629,108629
8,67,36,17,1:24.686,84686
8,67,37,17,1:23.755,83755
8,67,38,17,1:23.470,83470
8,17,30,2,1:21.840,81840
8,17,29,2,1:22.370,82370
8,17,28,2,1:21.407,81407
8,17,27,2,1:21.884,81884
8,17,26,2,1:21.979,81979
8,17,25,2,1:21.995,81995
8,17,31,2,1:21.804,81804
8,17,24,2,1:22.052,82052
8,17,22,3,1:22.543,82543
8,17,21,4,1:48.077,108077
8,17,20,2,1:24.944,84944
8,17,19,2,1:21.538,81538
8,17,18,3,1:21.565,81565
8,17,17,3,1:21.666,81666
8,17,23,3,1:22.451,82451
8,17,16,3,1:21.570,81570
8,17,32,2,1:22.188,82188
8,17,34,2,1:21.645,81645
8,17,48,2,1:43.803,103803
8,17,47,1,1:25.600,85600
8,17,46,1,1:21.537,81537
8,17,45,1,1:22.004,82004
8,17,44,2,1:21.702,81702
8,17,43,2,1:21.674,81674
8,17,33,2,1:21.822,81822
8,17,42,2,1:21.799,81799
8,17,40,2,1:21.406,81406
8,17,39,2,1:22.293,82293
8,17,38,2,1:21.865,81865
8,17,37,2,1:21.743,81743
8,17,36,2,1:22.409,82409
8,17,35,2,1:22.248,82248
8,17,41,2,1:21.311,81311
8,17,50,2,1:22.257,82257
8,17,15,3,1:21.655,81655
8,17,13,3,1:21.849,81849
8,67,52,18,1:23.371,83371
8,67,51,18,1:25.403,85403
8,67,50,18,1:23.529,83529
8,67,49,18,1:23.635,83635
8,67,48,18,1:23.347,83347
8,67,47,18,1:23.512,83512
8,67,54,18,1:23.888,83888
8,67,46,18,1:23.660,83660
8,67,44,18,1:24.173,84173
8,67,43,18,1:29.006,89006
8,67,42,18,1:46.203,106203
8,67,41,17,1:27.132,87132
8,67,40,16,1:23.489,83489
8,67,39,16,1:23.425,83425
8,67,45,18,1:23.728,83728
8,17,14,3,1:21.835,81835
8,67,55,18,1:23.615,83615
8,67,57,18,1:23.608,83608
8,17,12,3,1:22.099,82099
8,17,11,3,1:22.524,82524
8,17,10,3,1:22.054,82054
8,17,9,3,1:22.262,82262
8,17,8,3,1:22.188,82188
8,17,7,3,1:22.277,82277
8,67,56,18,1:24.328,84328
8,17,6,3,1:22.364,82364
8,17,4,3,1:22.751,82751
8,17,3,3,1:22.572,82572
8,17,2,3,1:23.379,83379
8,17,1,3,1:28.776,88776
8,67,59,18,1:24.285,84285
8,67,58,18,1:24.475,84475
8,17,5,3,1:22.576,82576
8,6,13,4,1:21.956,81956
8,6,14,4,1:21.845,81845
8,6,15,6,1:26.172,86172
8,18,17,6,1:21.399,81399
8,18,18,7,1:25.130,85130
8,18,19,10,1:47.437,107437
8,18,20,9,1:23.617,83617
8,18,21,9,1:23.721,83721
8,18,22,8,1:23.546,83546
8,18,23,8,1:23.138,83138
8,18,24,8,1:23.330,83330
8,18,25,8,1:23.246,83246
8,18,26,8,1:23.502,83502
8,18,27,8,1:22.980,82980
8,18,28,8,1:22.803,82803
8,18,29,8,1:22.880,82880
8,18,30,8,1:22.718,82718
8,18,31,8,1:22.879,82879
8,18,32,8,1:23.371,83371
8,18,33,8,1:22.987,82987
8,18,47,4,1:21.887,81887
8,18,46,4,1:22.418,82418
8,18,45,6,1:22.586,82586
8,18,44,6,1:22.394,82394
8,18,43,7,1:22.436,82436
8,18,42,7,1:23.223,83223
8,18,16,7,1:21.332,81332
8,18,41,8,1:22.960,82960
8,18,39,8,1:22.662,82662
8,18,38,8,1:22.733,82733
8,18,37,8,1:23.250,83250
8,18,36,8,1:23.439,83439
8,18,35,8,1:23.108,83108
8,18,34,8,1:23.182,83182
8,18,40,8,1:22.522,82522
8,18,15,8,1:21.737,81737
